vendor,order_date,order_number,item,qty,unit_price,line_total,category,build,flag,source,notes
RaceDayQuads,2024-08-16,787100,RadioMaster Boxer Max EdgeTX RC Transmitter - ELRS 2.4GHz - Choose Your Version - Black,1,259.99,259.99,misc,,?,1915cfd6996dd13d,
RaceDayQuads,2024-08-16,787100,"Lumenier Gate Breaker 5x5.3x3 Tri-Blade 5"" Prop 4 Pack - Choose Your Color - Blue",3,3.99,11.97,prop,,,1915cfd6996dd13d,unit=total/qty
Webleedfpv,2024-09-17,7380,HDZero Nano 90,1,64.99,64.99,frame,,?,1920066b7abdb9b0,"complete quad, not just a frame"
Webleedfpv,2024-09-17,7380,weBLEEDfpv 300mAh 1S LiPo Batteries *** CHOOSE PLUG STYLE ***,1,27.99,27.99,battery,,,1920066b7abdb9b0,
Pyrodrone,2024-09-28,419640,HDZero Freestyle V2 20x20 25-1000mW HD VTX Kit W/u.FL,1,149.99,149.99,vtx,,,192393bcc970d270,
RaceDayQuads,2024-10-09,793835,"Lumenier Gate Breaker 5x5.3x3 Tri-Blade 5"" Prop 4 Pack - Choose Your Color - Blue",2,3.99,7.98,prop,,,192722f88876ca95,unit=total/qty
RaceDayQuads,2024-10-09,793835,Flywoo X30 Waterproof Superhydrophobic Invisible Spray,1,24.99,24.99,misc,,,192722f88876ca95,
RaceDayQuads,2024-10-09,793835,HQ Ultralight Whoop Prop 31MM - TEAL,2,3.29,6.58,prop,,,192722f88876ca95,unit=total/qty
flyfive33,2024-10-11,8012,HDZero Monitor,1,174.99,174.99,misc,,,1927c46173e405b7,
GetFPV,2024-11-13,1001329973,Caddx Ant - 1200TVL 1.8mm FPV Nano Camera - 14x14 - Black,1,15.99,15.99,cam,,,19326a5467077756,
RaceDayQuads,2024-11-30,799741,HDZero Whoop Lite 25x25 200mw Digital HD VTX - U.FL,1,54.99,54.99,vtx,,,1937f08627117ec5,
Pyrodrone,2024-12-04,429489,CNHL Pizza Series 350mAh 3.8V 1S 75C Lipo Battery with BT2.0 Connector (5 Packs),1,19.99,19.99,battery,,,19391c2406de2af8,
flyfive33,2024-12-16,9188,HDZero Lightswitch V2 Ultra (Ready To Fly) - Black Series 2207 2100kv / ELRS / Upgraded Lens,1,541.86,541.86,misc,,,193d00f40e58a54d,
Pyrodrone,2025-01-03,433605,Foxeer Echon 2 Patch 5.8G Antenna 9DBi for FPV Racing - LHCP,1,19.9,19.9,vtx,,,1942c868f7dab505,
Pyrodrone,2025-01-03,433605,HDZero MIPI Cable 80mm,2,8.00,16.00,vtx,,,1942c868f7dab505,
Webleedfpv,2025-01-03,9261,Air65 Brushless FPV Whoop Quadcopter - ELRS 2.4G,1,99.99,99.99,frame,,?,1942c7d19b0e9e67,"complete RTF/BNF whoop, not just a frame"
Pyrodrone,2025-01-12,435187,PIRAT The Brush - Drone Cleaning Brush,1,3.99,3.99,tool,,,1945c664efacb569,
Pyrodrone,2025-01-12,435187,Gemfan Airgate,1,29.99,29.99,misc,,?,1945c664efacb569,
Webleedfpv,2025-02-12,9941,FatStraps FPV Goggles Head Strap,1,23.99,23.99,misc,,,194fa9b1f212b124,
flyfive33,2025-03-01,10503,Gemfan Fury 5128.0 - Purple,4,2.99,11.96,prop,,,195536d11e51a8a2,
flyfive33,2025-03-01,10503,LightSwitch Top Mounted Fin - Purchase / Fin,2,4.99,9.98,frame,,,195536d11e51a8a2,
flyfive33,2025-03-04,10536,850mah 3S 150C Lipo Battery,1,17.99,17.99,battery,,,1955e83ea8422038,
flyfive33,2025-03-04,10536,HDzero V2 TinyTrainer (Ready To Fly) - ELRS,1,363.16,363.16,misc,,,1955e83ea8422038,
RaceDayQuads,2025-03-07,811445,HappyModel Crux35 Bottom Plate,1,11.99,11.99,frame,,,1957302ceb48214a,
RaceDayQuads,2025-03-15,812366,Runcam HDZero Nano 90 HD FPV Camera w/ Cable,1,64.99,64.99,cam,,,1959989c1d887421,
flyfive33,2025-03-16,10822,Five33 TPU Lens Locker for HDZero Nano 90 Upgraded Lens - Purchase,4,0.50,2.00,cam,,,1959fd976d5d5fb6,
RaceDayQuads,2025-03-18,812723,"Beginner DIY FPV Drone Kit - QAV-S 2 Sub-250 Joshua Bardwell SE 3"" - HD Ready",1,269.99,269.99,misc,,?,195aa942771c4be7,
RaceDayQuads,2025-03-25,813440,Missing motors 812723,1,0.00,0.00,misc,,,195cdd8bc011bb77,
Pyrodrone,2025-04-07,448638,GEPRC GEP-F722-45A AIO F722 FC 45A 2-6S 8bit BLHeli_S ESC - 25.5x25.5mm,1,109.99,109.99,esc,,,19612802d8575afd,
RaceDayQuads,2025-05-01,816729,RDQ PCB Wire by Joshua Bardwell and RaceDayQuads - Choose Your Size - 20mm,4,2.49,9.96,misc,,?,1968e653b658bd8c,unit=total/qty
RaceDayQuads,2025-05-07,817227,"HQ Prop HeadsUp Tiny Prop T3x1.8x3 Tri-Blade 3"" Prop 4 Pack (2mm Shaft) - Choose Your Color - Blue",3,3.99,11.97,prop,,,196acdd805d695c1,unit=total/qty
Pyrodrone,2025-06-03,456175,RadioMaster Boxer Adjustable Length CNC Metal Folding Stand - Red,1,20.99,20.99,misc,,,19738335978fc07a,
Pyrodrone,2025-06-21,458299,RadioMaster Zorro Max Leather Grip Set - Blue Stiching,1,22.99,22.99,misc,,,197923742e18e76d,
Webleedfpv,2025-06-21,11591,Thumb Grippies weBLEEDfpv Special Edition Wheel Deletes for RadioMaster Zorro Radio Controller - (WB RED),1,22.99,22.99,misc,,,19792073c5530c0f,
Pyrodrone,2025-06-26,458899,OMPHobby M1 EVO BNF (OMP Protocol) 3D Flybarless Dual Brushless Motor Direct-Drive RC Helicopter - RED,1,249.99,249.99,misc,,?,197ad7a0488130a1,
Pyrodrone,2025-06-26,458899,DOGCOM 320mAh 1S 4.35V HV 75C Z-Fold Cell LiPo Battery - BT2.0,2,8.99,17.98,battery,,,197ad7a0488130a1,
Pyrodrone,2025-06-26,458899,RadioMaster XR2 Nano 2.4GHz ExpressLRS Receiver w/ Ceramic Antenna,1,14.99,14.99,rx,,,197ad7a0488130a1,
Pyrodrone,2025-06-26,458899,OMPHobby M1 EVO 3D Helicopter Crash Kit - RED,2,18.99,37.98,misc,,?,197ad7a0488130a1,
flyfive33,2025-06-30,13199,3 in 1 Micro Switchblade Antenna (45mm U.FL),1,17.49,17.49,vtx,,,197c0d67311cb1a2,
flyfive33,2025-06-30,13199,RDQ 5.8GHz U.FL Dipole FPV Antenna - Linear,1,3.99,3.99,vtx,,,197c0d67311cb1a2,
flyfive33,2025-06-30,13199,TrueRC U.FL Core Antenna (45mm Teal) - LHCP,1,14.99,14.99,vtx,,,197c0d67311cb1a2,
Webleedfpv,2025-07-21,12004,NewBeeDrone Max Comfort Goggle Foam for HDZero Goggle,1,11.99,11.99,misc,,,1982cd5dfc8416d8,
flyfive33,2025-08-10,14047,Five33 Open Racer Pod - HDZero Pro - Fits Nano 90 Camera,1,20.99,20.99,frame,,,19894fd53eec8ae1,
flyfive33,2025-08-10,14047,Five33 Open Racer Body Kit (Lucid Compatible),1,24.99,24.99,frame,,,19894fd53eec8ae1,
flyfive33,2025-08-10,14047,Open Racer Arm Kit,1,15.00,15.00,frame,,,19894fd53eec8ae1,
flyfive33,2025-08-10,14047,Hobbywing XRotor F722 3-6S 20x20 Stack/Combo (F7 FC / 32Bit 45A 4in1 ESC),1,137.49,137.49,esc,,,19894fd53eec8ae1,
flyfive33,2025-08-12,14081,LightSwitch V2 Ultra TPU Kit - Hdzero Nano 90 w/ Glass Lens (55) / Download,1,0.00,0.00,cam,,,1989e53aeb22b462,
flyfive33,2025-08-12,14081,LightSwitch V2 Ultra TPU Kit - Hdzero Nano 90 w/ stock Lens (55) / Download,1,0.00,0.00,cam,,,1989e53aeb22b462,
Pyrodrone,2025-08-15,464350,VCI SPARK 2207 PRO High Performance FPV Drone Motor - 2050Kv,1,25.99,25.99,motor,,,198aec266bf658b7,
flyfive33,2025-08-16,14162,Open Racer Front Brace,1,6.50,6.50,frame,,,198b2eebd930b118,
flyfive33,2025-08-16,14162,Five33 Black Series 2207 2100KV Motor,1,25.99,25.99,motor,,,198b2eebd930b118,
flyfive33,2025-08-16,14162,LightSwitch V2 Ultra TPU Kit - Hdzero Nano 90 w/ stock Lens (55) / Purchase,1,4.99,4.99,cam,,,198b2eebd930b118,
flyfive33,2025-08-25,14313,Five33 Black Series 2207 2100KV Motor,1,25.99,25.99,motor,,,198e306f286ccc7f,
flyfive33,2025-08-25,14313,TrueRC U.FL Core Antenna (45mm Teal) - LHCP,1,14.99,14.99,vtx,,,198e306f286ccc7f,
flyfive33,2025-08-25,14313,Open Racer Turtle Fin,1,3.99,3.99,frame,,,198e306f286ccc7f,
flyfive33,2026-01-24,16903,HDZero Lightswitch V2 Ultra (Ready To Fly) - Headsup w/ MR-30 / ELRS / Upgraded Lens,1,545.86,545.86,misc,,,19bf1b60baa9b461,
flyfive33,2026-02-28,17541,LightSwitch V2 TPU Kit - 45,1,5.00,5.00,misc,,,19ca58a4285c4171,
flyfive33,2026-02-28,17541,Headsup | FIVE33 2207 Motor w/ MR30,1,23.99,23.99,motor,,,19ca58a4285c4171,
RaceDayQuads,2026-03-14,842224,HDZero M8 Replacement Lens for Runcam Nano HD Camera - 1.8mm,1,11.99,11.99,cam,,,19ceeba4bc4fdbaf,
RaceDayQuads,2026-03-14,842224,Mini All-In-One Hex Driver Tool,1,10.99,10.99,tool,,,19ceeba4bc4fdbaf,
flyfive33,2026-04-10,18304,Five33 18.6g 65mm HDZero Race Whoop (Ready To Fly) - 30 / White,1,254.99,254.99,misc,,,19d77acceb668d22,
Pyrodrone,2026-04-13,488876,Gemfan Fury 5128 3 (5.1x2.8x3) PC Durable Prop (2CW+2CCW)- Choose Color - Clear Pink,2,3.99,7.98,prop,,,19d86465c669b64e,
Pyrodrone,2026-04-13,488876,Gemfan Fury 5128 3 (5.1x2.8x3) PC Durable Prop (2CW+2CCW)- Choose Color - Radioactive Green,2,3.99,7.98,prop,,,19d86465c669b64e,
Webleedfpv,2026-04-20,17198,weBLEEDfpv 340mAh 1S BT2.0,1,21.99,21.99,battery,,,19daaf381f54ea42,
Webleedfpv,2026-04-25,17328,HQ Ultralight 31MM (HIGH PITCH) 1MM SHAFTS,1,3.69,3.69,prop,,,19dc64ca50e94d4a,
Webleedfpv,2026-04-25,17328,Happymodel SE0702 Brushless Motors (SINGLES) (1pc),2,12.99,25.98,motor,,,19dc64ca50e94d4a,
flyfive33,2026-07-15,19799,Analog Open Racer (Ready To Fly) - Headsup 2207 1960kv W/ MR-30 / ELRS,1,475.00,475.00,misc,,,19f67451a7a6c715,
Pyrodrone,2026-07-15,497665,VCI SPARK 2207 PRO High Performance FPV Drone Motor - 2050Kv,1,25.99,25.99,motor,,,19f670cb8434bf48,
flyfive33,2026-07-17,19825,Headsup | FIVE33 2207 Motor w/ MR30,4,23.99,95.96,motor,,,19f718559b18a02e,
